Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_sinr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=29/100 | objective=-12.468683 | rate=12.918520 | r_p=0.540912 | r_c=0.136647 | r_s=0.001590 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=30/100 | objective=-12.468015 | rate=12.919850 | r_p=0.540091 | r_c=0.139357 | r_s=0.001563 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=31/100 | objective=-12.462865 | rate=12.920982 | r_p=0.543042 | r_c=0.143067 | r_s=0.001506 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=32/100 | objective=-12.461552 | rate=12.921936 | r_p=0.542446 | r_c=0.145853 | r_s=0.001429 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=33/100 | objective=-12.459740 | rate=12.922592 | r_p=0.542033 | r_c=0.148680 | r_s=0.001319 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=34/100 | objective=-12.457013 | rate=12.922709 | r_p=0.541954 | r_c=0.151595 | r_s=0.001212 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=35/100 | objective=-12.453744 | rate=12.922511 | r_p=0.542072 | r_c=0.154567 | r_s=0.001084 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=36/100 | objective=-12.450530 | rate=12.922351 | r_p=0.542170 | r_c=0.157534 | r_s=9.999221e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=37/100 | objective=-12.447654 | rate=12.922393 | r_p=0.542149 | r_c=0.160467 | r_s=9.357751e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=38/100 | objective=-12.444784 | rate=12.922440 | r_p=0.542126 | r_c=0.163399 | r_s=8.515798e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=39/100 | objective=-12.441836 | rate=12.922441 | r_p=0.542132 | r_c=0.166340 | r_s=7.718481e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=40/100 | objective=-12.439250 | rate=12.922649 | r_p=0.542007 | r_c=0.169240 | r_s=9.135868e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=41/100 | objective=-12.437106 | rate=12.923108 | r_p=0.541725 | r_c=0.172086 | r_s=8.948414e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=42/100 | objective=-12.434886 | rate=12.923516 | r_p=0.541469 | r_c=0.174937 | r_s=8.541442e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=43/100 | objective=-12.432222 | rate=12.923667 | r_p=0.541373 | r_c=0.177837 | r_s=7.863914e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=44/100 | objective=-12.429286 | rate=12.923659 | r_p=0.541374 | r_c=0.180768 | r_s=7.247953e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=45/100 | objective=-12.426329 | rate=12.923642 | r_p=0.541382 | r_c=0.183702 | r_s=6.841910e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=46/100 | objective=-12.423388 | rate=12.923635 | r_p=0.541386 | r_c=0.186634 | r_s=6.507995e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=47/100 | objective=-12.420502 | rate=12.923662 | r_p=0.541371 | r_c=0.189559 | r_s=6.174431e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=48/100 | objective=-12.417792 | rate=12.923787 | r_p=0.541294 | r_c=0.192462 | r_s=6.334965e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=49/100 | objective=-12.415189 | rate=12.923972 | r_p=0.541178 | r_c=0.195350 | r_s=6.265393e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=50/100 | objective=-12.412474 | rate=12.924094 | r_p=0.541103 | r_c=0.198251 | r_s=6.268456e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=51/100 | objective=-12.409608 | rate=12.924129 | r_p=0.541081 | r_c=0.201170 | r_s=6.322065e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=52/100 | objective=-12.406709 | rate=12.924147 | r_p=0.541072 | r_c=0.204095 | r_s=6.454439e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=53/100 | objective=-12.403817 | rate=12.924168 | r_p=0.541059 | r_c=0.207017 | r_s=6.485001e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=54/100 | objective=-12.400872 | rate=12.924161 | r_p=0.541066 | r_c=0.209947 | r_s=6.201687e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=55/100 | objective=-12.397914 | rate=12.924145 | r_p=0.541077 | r_c=0.212879 | r_s=5.247498e-04 | status=stationary_infeasible
[UL Monte Carlo Train] | phase=start | user=2 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=1/100 | objective=-9.392904 | rate=9.514857 | r_p=0.292403 | r_c=0.030095 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=2/100 | objective=-10.929716 | rate=11.090276 | r_p=0.340206 | r_c=0.036173 | r_s=0.013879 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=3/100 | objective=-11.714267 | rate=11.895225 | r_p=0.362710 | r_c=0.039881 | r_s=0.012047 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=4/100 | objective=-12.125173 | rate=12.318840 | r_p=0.375595 | r_c=0.042709 | r_s=0.010813 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=5/100 | objective=-12.325266 | rate=12.524703 | r_p=0.380227 | r_c=0.044681 | r_s=0.009574 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=6/100 | objective=-12.446033 | rate=12.651349 | r_p=0.385321 | r_c=0.046764 | r_s=0.008853 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=7/100 | objective=-12.556413 | rate=12.766954 | r_p=0.389370 | r_c=0.048772 | r_s=0.008413 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=8/100 | objective=-12.627501 | rate=12.840426 | r_p=0.389870 | r_c=0.050354 | r_s=0.007800 | status=running
