Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=13/100 | objective=-12.818724 | rate=12.875520 | r_p=0.392495 | r_c=0.058337 | r_s=0.004908 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=14/100 | objective=-12.821021 | rate=12.879029 | r_p=0.390280 | r_c=0.059531 | r_s=0.004418 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=15/100 | objective=-12.825771 | rate=12.885134 | r_p=0.389183 | r_c=0.060878 | r_s=0.003983 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=16/100 | objective=-12.832448 | rate=12.893373 | r_p=0.389482 | r_c=0.062442 | r_s=0.003677 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=17/100 | objective=-12.839378 | rate=12.902242 | r_p=0.392116 | r_c=0.064402 | r_s=0.003497 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=18/100 | objective=-12.845256 | rate=12.909377 | r_p=0.390406 | r_c=0.065645 | r_s=0.003347 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=19/100 | objective=-12.846964 | rate=12.912718 | r_p=0.391054 | r_c=0.067283 | r_s=0.003154 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=20/100 | objective=-12.845929 | rate=12.913587 | r_p=0.393231 | r_c=0.069204 | r_s=0.002999 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=21/100 | objective=-12.844440 | rate=12.913638 | r_p=0.393196 | r_c=0.070744 | r_s=0.002812 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=22/100 | objective=-12.842680 | rate=12.913005 | r_p=0.390869 | r_c=0.071853 | r_s=0.002587 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=23/100 | objective=-12.840509 | rate=12.912874 | r_p=0.393653 | r_c=0.073915 | r_s=0.002383 | status=running
