Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=60/1000 | objective=10.650728 | rate=15.215605 | power=29.999939 | r_p=4.784395 | r_c=14.421113 | r_s=0.001548 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=61/1000 | objective=10.879143 | rate=15.215660 | power=29.999939 | r_p=4.784340 | r_c=14.649848 | r_s=0.001637 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=62/1000 | objective=11.107744 | rate=15.215693 | power=29.999945 | r_p=4.784307 | r_c=14.878643 | r_s=0.001661 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=63/1000 | objective=11.336580 | rate=15.215700 | power=29.999945 | r_p=4.784300 | r_c=15.107518 | r_s=0.001580 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=64/1000 | objective=11.565553 | rate=15.215692 | power=29.999945 | r_p=4.784308 | r_c=15.336441 | r_s=0.001402 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=65/1000 | objective=11.794656 | rate=15.215669 | power=29.999945 | r_p=4.784331 | r_c=15.565412 | r_s=0.001176 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=66/1000 | objective=12.023632 | rate=15.215660 | power=29.999945 | r_p=4.784340 | r_c=15.794338 | r_s=9.822178e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=67/1000 | objective=12.252443 | rate=15.215670 | power=29.999945 | r_p=4.784330 | r_c=16.023205 | r_s=8.891667e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=68/1000 | objective=12.481115 | rate=15.215694 | power=29.999945 | r_p=4.784306 | r_c=16.252019 | r_s=9.063140e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=69/1000 | objective=12.709745 | rate=15.215723 | power=29.999939 | r_p=4.784277 | r_c=16.480817 | r_s=9.817320e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=70/1000 | objective=12.938417 | rate=15.215747 | power=29.999945 | r_p=4.784253 | r_c=16.709626 | r_s=0.001059 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=71/1000 | objective=13.167068 | rate=15.215773 | power=29.999939 | r_p=4.784227 | r_c=16.938426 | r_s=0.001099 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=72/1000 | objective=13.395885 | rate=15.215780 | power=29.999950 | r_p=4.784220 | r_c=17.167287 | r_s=0.001074 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=73/1000 | objective=13.624881 | rate=15.215769 | power=29.999939 | r_p=4.784231 | r_c=17.396216 | r_s=9.730978e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=74/1000 | objective=13.853860 | rate=15.215759 | power=29.999945 | r_p=4.784241 | r_c=17.625140 | r_s=8.158521e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=75/1000 | objective=14.082787 | rate=15.215755 | power=29.999945 | r_p=4.784245 | r_c=17.854044 | r_s=6.567535e-04 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=76/1000 | objective=14.311649 | rate=15.215758 | power=29.999939 | r_p=4.784242 | r_c=18.082923 | r_s=5.714396e-04 | status=stationary_infeasible
[UL Convergence Result] | user=0 | block=0 | n_kl=50 | achieved_rate=15.215780 | power=29.999950 | rate_gap=4.784220 | power_gap=-4.959106e-05 | solve_status=stationary_infeasible
[UL Convergence Allocation] | user=0 | block=0 | n_kl=50 | requested_bits=1000 | served_bits=760 | full_service=false
[UL Convergence Block] | user=0 | block=0 | stage=post_T | served_bits=760 | remaining_bits=240
[UL Convergence Reduction] | user=0 | block=0 | served_bits=760 | n_start=49 | n_min=1
[UL Convergence Reduction] | user=0 | block=0 | n_kl=49 | status=stop_partial_payload
[UL Convergence Final] | user=0 | block=0 | feasible_points=1 | chosen_n_kl=50 | served_bits=760 | achieved_rate=15.215780 | power=29.999950 | solve_status=stationary_infeasible
[UL Convergence Allocation] | user=0 | block=0 | chosen_n_kl=50 | served_bits=760 | committed_bits=760 | remaining_bits=240
[UL Convergence Train] | user=0 | block=1 | remaining_bits=240
[UL Convergence Block] | user=0 | block=1 | budget_mode=B_rem | requested_bits=240
[UL Convergence Solve] | user=0 | block=1 | stage=n=T | n_kl=50 | requested_bits=240
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=1/1000 | objective=-15.720717 | rate=15.720717 | power=29.999950 | r_p=0.000000 | r_c=0.000000 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=2/1000 | objective=-15.473097 | rate=15.473097 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.186936 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=3/1000 | objective=-15.697239 | rate=15.697239 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.132850 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=4/1000 | objective=-15.664684 | rate=15.664684 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.105832 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=5/1000 | objective=-15.625477 | rate=15.625477 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.047163 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=6/1000 | objective=-15.650379 | rate=15.650379 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.034974 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=7/1000 | objective=-15.686869 | rate=15.686869 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.041706 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=8/1000 | objective=-15.706346 | rate=15.706346 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.041121 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=9/1000 | objective=-15.708328 | rate=15.708328 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.035706 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=10/1000 | objective=-15.701422 | rate=15.701422 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.028990 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=11/1000 | objective=-15.695114 | rate=15.695114 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.022276 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=12/1000 | objective=-15.695096 | rate=15.695096 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.017888 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=13/1000 | objective=-15.701218 | rate=15.701218 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.017155 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=14/1000 | objective=-15.709696 | rate=15.709696 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.018606 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=15/1000 | objective=-15.716166 | rate=15.716166 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.019950 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=16/1000 | objective=-15.718201 | rate=15.718201 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.020476 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=17/1000 | objective=-15.716118 | rate=15.716118 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.018013 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=18/1000 | objective=-15.712842 | rate=15.712842 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.014107 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=19/1000 | objective=-15.710979 | rate=15.710979 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.010732 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=20/1000 | objective=-15.711953 | rate=15.711953 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009352 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=21/1000 | objective=-15.715251 | rate=15.715251 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.010832 | status=running
[UL Convergence] | phase=optimize | user=0 | block=1 | n_kl=50 | epoch=22/1000 | objective=-15.718889 | rate=15.718889 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.012745 | status=running
