Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_snr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=36/100 | objective=-15.600460 | rate=15.811104 | r_p=0.650330 | r_c=0.214874 | r_s=0.001093 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=37/100 | objective=-15.596231 | rate=15.811105 | r_p=0.650330 | r_c=0.219103 | r_s=0.001040 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=38/100 | objective=-15.592144 | rate=15.811223 | r_p=0.650258 | r_c=0.223307 | r_s=0.001021 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=39/100 | objective=-15.588115 | rate=15.811388 | r_p=0.650159 | r_c=0.227500 | r_s=9.689768e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=40/100 | objective=-15.584038 | rate=15.811512 | r_p=0.650085 | r_c=0.231700 | r_s=9.076674e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=41/100 | objective=-15.579931 | rate=15.811610 | r_p=0.650026 | r_c=0.235905 | r_s=8.343594e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=42/100 | objective=-15.574529 | rate=15.811739 | r_p=0.653624 | r_c=0.241482 | r_s=7.556027e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=43/100 | objective=-15.570504 | rate=15.811941 | r_p=0.653500 | r_c=0.245707 | r_s=6.863985e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=44/100 | objective=-15.566567 | rate=15.812211 | r_p=0.653332 | r_c=0.249912 | r_s=6.443721e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=45/100 | objective=-15.562649 | rate=15.812494 | r_p=0.653155 | r_c=0.254111 | r_s=6.213299e-04 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=46/100 | objective=-15.558644 | rate=15.812704 | r_p=0.653023 | r_c=0.258324 | r_s=5.932847e-04 | status=stationary_infeasible
[UL Monte Carlo Train] | phase=start | user=2 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=1/100 | objective=-11.772928 | rate=11.808828 | r_p=0.358999 | r_c=0.037189 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=2/100 | objective=-13.744182 | rate=13.787297 | r_p=0.416207 | r_c=0.044847 | r_s=0.013937 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=3/100 | objective=-14.698089 | rate=14.745877 | r_p=0.443498 | r_c=0.049755 | r_s=0.011872 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=4/100 | objective=-15.150597 | rate=15.201947 | r_p=0.457722 | r_c=0.053446 | r_s=0.010576 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=5/100 | objective=-15.372256 | rate=15.426168 | r_p=0.461715 | r_c=0.056044 | r_s=0.009421 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=6/100 | objective=-15.521244 | rate=15.577991 | r_p=0.467507 | r_c=0.058932 | r_s=0.008622 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=7/100 | objective=-15.637462 | rate=15.696972 | r_p=0.472089 | r_c=0.061739 | r_s=0.008197 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=8/100 | objective=-15.706124 | rate=15.768120 | r_p=0.474061 | r_c=0.064244 | r_s=0.007474 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=9/100 | objective=-15.717832 | rate=15.782023 | r_p=0.473667 | r_c=0.066434 | r_s=0.006620 | status=running
