Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=34/100 | objective=310.423500 | rate=11.374958 | r_p=25.624409 | r_c=327.566497 | r_s=0.001300 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=34/100 | objective=105.674074 | rate=10.937493 | r_p=16.978365 | r_c=120.457983 | r_s=0.001530 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=34/100 | objective=1869.699158 | rate=13.180078 | r_p=42.639925 | r_c=1932.569689 | r_s=0.002833 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=35/100 | objective=316.986566 | rate=11.375218 | r_p=25.624189 | r_c=334.129676 | r_s=0.001252 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=35/100 | objective=108.557118 | rate=10.937578 | r_p=16.978426 | r_c=123.341085 | r_s=0.001487 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=35/100 | objective=1927.392660 | rate=13.180460 | r_p=42.639638 | r_c=1982.450603 | r_s=0.002369 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=36/100 | objective=322.356724 | rate=11.375448 | r_p=25.532498 | r_c=339.453135 | r_s=0.001142 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=36/100 | objective=111.438046 | rate=10.937971 | r_p=16.978242 | r_c=126.222358 | r_s=0.001539 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=36/100 | objective=1980.635540 | rate=13.180732 | r_p=42.639390 | r_c=2054.418578 | r_s=0.002557 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=37/100 | objective=328.876968 | rate=11.375409 | r_p=25.532582 | r_c=345.973384 | r_s=0.001082 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=37/100 | objective=113.665543 | rate=10.938254 | r_p=16.890165 | r_c=128.420335 | r_s=0.001360 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=37/100 | objective=2049.393398 | rate=13.180712 | r_p=42.639424 | r_c=2095.319913 | r_s=0.002619 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=38/100 | objective=335.397298 | rate=11.375332 | r_p=25.532666 | r_c=352.493697 | r_s=9.187319e-04 | status=stationary_infeasible
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=38/100 | objective=116.518908 | rate=10.938118 | r_p=16.890223 | r_c=131.273577 | r_s=0.001187 | status=running
