Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=35/100 | objective=357.498334 | rate=11.374819 | r_p=25.624431 | r_c=375.439263 | r_s=0.001490 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=35/100 | objective=109.901010 | rate=10.937590 | r_p=16.978444 | r_c=123.721282 | r_s=0.001230 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=35/100 | objective=1939.866359 | rate=13.180621 | r_p=42.639479 | r_c=1995.057691 | r_s=0.002416 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=36/100 | objective=364.063593 | rate=11.374842 | r_p=25.624375 | r_c=382.004529 | r_s=0.001357 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=36/100 | objective=112.783221 | rate=10.937708 | r_p=16.978396 | r_c=126.603586 | r_s=0.001192 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=36/100 | objective=1993.123035 | rate=13.180589 | r_p=42.639528 | r_c=2067.039931 | r_s=0.001947 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=37/100 | objective=370.628295 | rate=11.374953 | r_p=25.624289 | r_c=388.569285 | r_s=0.001326 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=37/100 | objective=115.663844 | rate=10.938041 | r_p=16.978168 | r_c=129.484468 | r_s=0.001189 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=37/100 | objective=2061.873794 | rate=13.180694 | r_p=42.639409 | r_c=2107.933896 | r_s=0.002255 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=38/100 | objective=377.193519 | rate=11.375038 | r_p=25.624240 | r_c=395.134561 | r_s=0.001273 | status=running
